Discord,Team,Individual,Individual?,% Calculator,Rank
,UpLYFT Esports,51.30%,FALSE,#REF!,#REF!
,Hamboigas,51.29%,FALSE,#REF!,#REF!
,,51.28%,TRUE,51.28%,Advanced
,,51.21%,TRUE,51.21%,Advanced
,Invicta,51.20%,FALSE,#REF!,#REF!
,Flux Academy,51.18%,FALSE,#REF!,#REF!
,,51.17%,TRUE,51.17%,Advanced
,,51.11%,TRUE,51.11%,Advanced
,,51.09%,TRUE,51.09%,Advanced
,,51.07%,TRUE,51.07%,Advanced
,,51.06%,TRUE,51.06%,Advanced
,,51.04%,TRUE,51.04%,Advanced
,Evolution Gaming,51.03%,FALSE,#REF!,#REF!
,Syzygy,51.00%,FALSE,#REF!,#REF!
,,50.99%,TRUE,50.99%,Advanced
,,50.96%,TRUE,50.96%,Advanced
,,50.94%,TRUE,50.94%,Advanced
,,50.86%,TRUE,50.86%,Advanced
,,50.84%,TRUE,50.84%,Advanced
,Team Fish Taco,50.82%,FALSE,#REF!,#REF!
,Flux Academy,50.80%,FALSE,#REF!,#REF!
,,50.80%,TRUE,50.80%,Advanced
,,50.79%,TRUE,50.79%,Advanced
,,50.76%,TRUE,50.76%,Advanced
,Worst Generation,50.75%,FALSE,#REF!,#REF!
,,50.73%,TRUE,50.73%,Advanced
,,50.68%,TRUE,50.68%,Advanced
,,50.67%,TRUE,50.67%,Advanced
,,50.61%,TRUE,50.61%,Advanced
,Overkill,50.60%,FALSE,#REF!,#REF!
,,50.60%,TRUE,50.60%,Advanced
,Final Form,50.60%,FALSE,#REF!,#REF!
,,50.60%,TRUE,50.60%,Advanced
,,50.59%,TRUE,50.59%,Advanced
,afterMath Esports,50.57%,FALSE,#REF!,#REF!
,,50.54%,TRUE,50.54%,Advanced
,,50.54%,TRUE,50.54%,Advanced
,,50.51%,TRUE,50.51%,Advanced
,,50.49%,TRUE,50.49%,Advanced
,,50.48%,TRUE,50.48%,Advanced
,Eclectiq Cerise,50.42%,FALSE,#REF!,#REF!
,,50.42%,TRUE,50.42%,Advanced
,,50.40%,TRUE,50.40%,Advanced
,,50.39%,TRUE,50.39%,Advanced
,,50.38%,TRUE,50.38%,Advanced
,WannaBees,50.36%,FALSE,#REF!,#REF!
,,50.33%,TRUE,50.33%,Advanced
,,50.31%,TRUE,50.31%,Advanced
,,50.26%,TRUE,50.26%,Advanced
,,50.21%,TRUE,50.21%,Advanced
,,50.20%,TRUE,50.20%,Advanced
,,50.16%,TRUE,50.16%,Advanced
,,50.15%,TRUE,50.15%,Advanced
,,50.14%,TRUE,50.14%,Advanced
,,50.13%,TRUE,50.13%,Advanced
,,50.12%,TRUE,50.12%,Advanced
,Raw Dogs,50.12%,FALSE,#REF!,#REF!
,,50.12%,TRUE,50.12%,Advanced
,,50.09%,TRUE,50.09%,Advanced
,,50.09%,TRUE,50.09%,Advanced
,,50.09%,TRUE,50.09%,Advanced
,Verity Esports White,50.07%,FALSE,#REF!,#REF!
,,50.06%,TRUE,50.06%,Advanced
,,50.05%,TRUE,50.05%,Advanced
,,50.02%,TRUE,50.02%,Advanced
,,50.02%,TRUE,50.02%,Advanced
,,50.02%,TRUE,50.02%,Advanced
,Invicta,50.00%,FALSE,#REF!,#REF!
,,49.99%,TRUE,49.99%,Advanced
,,49.99%,TRUE,49.99%,Advanced
,,49.99%,TRUE,49.99%,Advanced
,,49.95%,TRUE,49.95%,Advanced
,,49.92%,TRUE,49.92%,Advanced
,,49.90%,TRUE,49.90%,Advanced
,,49.87%,TRUE,49.87%,Advanced
,,49.86%,TRUE,49.86%,Advanced
,Sailor Moon,49.81%,FALSE,#REF!,#REF!
,,49.79%,TRUE,49.79%,Advanced
,,49.79%,TRUE,49.79%,Advanced
,,49.74%,TRUE,49.74%,Advanced
,,49.72%,TRUE,49.72%,Advanced
,,49.72%,TRUE,49.72%,Advanced
,,49.67%,TRUE,49.67%,Advanced
,,49.66%,TRUE,49.66%,Advanced
,,49.63%,TRUE,49.63%,Advanced
,,49.59%,TRUE,49.59%,Advanced
,Astéri 7,49.58%,FALSE,#REF!,#REF!
,Sailor Moon,49.58%,FALSE,#REF!,#REF!
,,49.57%,TRUE,49.57%,Advanced
,,49.54%,TRUE,49.54%,Advanced
,,49.52%,TRUE,49.52%,Advanced
,,49.52%,TRUE,49.52%,Advanced
,,49.52%,TRUE,49.52%,Advanced
,Spectral eSports Purple,49.51%,FALSE,#REF!,#REF!
,,49.40%,TRUE,49.40%,Advanced
,HypeHorizen,49.38%,FALSE,#REF!,#REF!
,,49.36%,TRUE,49.36%,Advanced
,Alpha 1,49.34%,FALSE,#REF!,#REF!
,Project (arc),49.33%,FALSE,#REF!,#REF!
,,49.33%,TRUE,49.33%,Advanced
,WTP,49.32%,FALSE,#REF!,#REF!
,,49.31%,TRUE,49.31%,Advanced
,The Fog,49.28%,FALSE,#REF!,#REF!
,,49.25%,TRUE,49.25%,Advanced
,,49.25%,TRUE,49.25%,Advanced
,,49.25%,TRUE,49.25%,Advanced
,,49.24%,TRUE,49.24%,Advanced
,,49.24%,TRUE,49.24%,Advanced
,Revitalize,49.23%,FALSE,#REF!,#REF!
,,49.21%,TRUE,49.21%,Advanced
,Moonshot,49.14%,FALSE,#REF!,#REF!
,,49.11%,TRUE,49.11%,Advanced
,Tempest Gaming,49.08%,FALSE,#REF!,#REF!
,,49.06%,TRUE,49.06%,Advanced
,,49.03%,TRUE,49.03%,Advanced
,,49.03%,TRUE,49.03%,Advanced
,,49.02%,TRUE,49.02%,Advanced
,,49.02%,TRUE,49.02%,Advanced
,,48.98%,TRUE,48.98%,Advanced
,ZMM White,48.97%,FALSE,#REF!,#REF!
,Tempest Gaming,48.95%,FALSE,#REF!,#REF!
,,48.93%,TRUE,48.93%,Advanced
,,48.90%,TRUE,48.90%,Advanced
,Stasis Red,48.88%,FALSE,#REF!,#REF!
,Krysos,48.84%,FALSE,#REF!,#REF!
,,48.83%,TRUE,48.83%,Advanced
,,48.82%,TRUE,48.82%,Advanced
,,48.79%,TRUE,48.79%,Advanced
,,48.78%,TRUE,48.78%,Advanced
,,48.77%,TRUE,48.77%,Advanced
,,48.76%,TRUE,48.76%,Advanced
,,48.74%,TRUE,48.74%,Advanced
,Mach5,48.71%,FALSE,#REF!,#REF!
,HOLY SMOKES,48.71%,FALSE,#REF!,#REF!
,Olympus Gaming,48.70%,FALSE,#REF!,#REF!
,,48.63%,TRUE,48.63%,Advanced
,Lionheart Esports,48.60%,FALSE,#REF!,#REF!
,,48.57%,TRUE,48.57%,Advanced
,,48.54%,TRUE,48.54%,Advanced
,OTF,48.53%,FALSE,#REF!,#REF!
,BEKNZ+,48.53%,FALSE,#REF!,#REF!
,,48.51%,TRUE,48.51%,Advanced
,,48.50%,TRUE,48.50%,Advanced
,,48.44%,TRUE,48.44%,Advanced
,,48.43%,TRUE,48.43%,Advanced
,FXP Blue,48.43%,FALSE,#REF!,#REF!
,,48.42%,TRUE,48.42%,Advanced
,,48.42%,TRUE,48.42%,Advanced
,,48.41%,TRUE,48.41%,Advanced
,Evolution Gaming,48.41%,FALSE,#REF!,#REF!
,Teddy Tactics,48.41%,FALSE,#REF!,#REF!
,,48.39%,TRUE,48.39%,Advanced
,,48.35%,TRUE,48.35%,Advanced
,,48.35%,TRUE,48.35%,Advanced
,,48.32%,TRUE,48.32%,Advanced
,ZMM White,48.28%,FALSE,#REF!,#REF!
,,48.27%,TRUE,48.27%,Advanced
,Project (Acts),48.26%,FALSE,#REF!,#REF!
,,48.25%,TRUE,48.25%,Advanced
,BHOP Celestial,48.24%,FALSE,#REF!,#REF!
,,48.22%,TRUE,48.22%,Advanced
,SHIFT X,48.21%,FALSE,#REF!,#REF!
,,48.20%,TRUE,48.20%,Advanced
,,48.19%,TRUE,48.19%,Advanced
,,48.14%,TRUE,48.14%,Advanced
,,48.10%,TRUE,48.10%,Advanced
,,48.09%,TRUE,48.09%,Advanced
,Spaghetti,48.09%,FALSE,#REF!,#REF!
,Teddy Tactics,48.00%,FALSE,#REF!,#REF!
,,47.99%,TRUE,47.99%,Advanced
,PommyPurin,47.96%,FALSE,#REF!,#REF!
,,47.95%,TRUE,47.95%,Advanced
,Crownless,47.94%,FALSE,#REF!,#REF!
,,47.91%,TRUE,47.91%,Advanced
,,47.90%,TRUE,47.90%,Advanced
,,47.89%,TRUE,47.89%,Advanced
,,47.87%,TRUE,47.87%,Advanced
,,47.87%,TRUE,47.87%,Advanced
,,47.86%,TRUE,47.86%,Advanced
,,47.86%,TRUE,47.86%,Advanced
,Omnipotent Gaming,47.85%,FALSE,#REF!,#REF!
,,47.84%,TRUE,47.84%,Advanced
,,47.78%,TRUE,47.78%,Advanced
,Royalty Forgotten,47.77%,FALSE,#REF!,#REF!
,,47.77%,TRUE,47.77%,Advanced
,,47.76%,TRUE,47.76%,Advanced
,Olympus Gaming,47.74%,FALSE,#REF!,#REF!
,,47.73%,TRUE,47.73%,Advanced
,,47.72%,TRUE,47.72%,Advanced
,,47.71%,TRUE,47.71%,Advanced
,Team Kraken,47.70%,FALSE,#REF!,#REF!
,,47.69%,TRUE,47.69%,Advanced
,,47.67%,TRUE,47.67%,Advanced
,,47.66%,TRUE,47.66%,Advanced
,,47.65%,TRUE,47.65%,Advanced
,,47.64%,TRUE,47.64%,Advanced
,,47.62%,TRUE,47.62%,Advanced
,,47.61%,TRUE,47.61%,Advanced
,,47.60%,TRUE,47.60%,Advanced
,,47.59%,TRUE,47.59%,Advanced
,Rise of Scarlet Empire,47.55%,FALSE,#REF!,#REF!
,,47.55%,TRUE,47.55%,Advanced
,GenZ,47.54%,FALSE,#REF!,#REF!
,,47.54%,TRUE,47.54%,Advanced
,,47.54%,TRUE,47.54%,Advanced
,,47.53%,TRUE,47.53%,Advanced
,,47.51%,TRUE,47.51%,Advanced
,HorizonGG,47.51%,FALSE,#REF!,#REF!
,,47.49%,TRUE,47.49%,Advanced
,,47.46%,TRUE,47.46%,Advanced
,,47.44%,TRUE,47.44%,Advanced
,,47.42%,TRUE,47.42%,Advanced
,,47.41%,TRUE,47.41%,Advanced
,Team TEA,47.40%,FALSE,#REF!,#REF!
,Sakura Storm,47.40%,FALSE,#REF!,#REF!
,Project (arc),47.38%,FALSE,#REF!,#REF!
,,47.37%,TRUE,47.37%,Advanced
,,47.37%,TRUE,47.37%,Advanced
,,47.35%,TRUE,47.35%,Advanced
,,47.27%,TRUE,47.27%,Advanced
,,47.27%,TRUE,47.27%,Advanced
,,47.25%,TRUE,47.25%,Advanced
,,47.25%,TRUE,47.25%,Advanced
,,47.24%,TRUE,47.24%,Advanced
,,47.23%,TRUE,47.23%,Advanced
,,47.23%,TRUE,47.23%,Advanced
,,47.23%,TRUE,47.23%,Advanced
,,47.22%,TRUE,47.22%,Advanced
,UpLYFT Esports,47.22%,FALSE,#REF!,#REF!
,,47.21%,TRUE,47.21%,Advanced
,Harmony,47.20%,FALSE,#REF!,#REF!
,Final Form,47.18%,FALSE,#REF!,#REF!
,Teddy Tactics,47.17%,FALSE,#REF!,#REF!
,UpLYFT Esports,47.14%,FALSE,#REF!,#REF!
,,47.13%,TRUE,47.13%,Advanced
,,47.13%,TRUE,47.13%,Advanced
,,47.13%,TRUE,47.13%,Advanced
,SHIFT X,47.08%,FALSE,#REF!,#REF!
,Team TEA,47.08%,FALSE,#REF!,#REF!
,Hyperactive,47.06%,FALSE,#REF!,#REF!
,,47.03%,TRUE,47.03%,Advanced
,,47.02%,TRUE,47.02%,Advanced
,Realism Esports Blue,46.97%,FALSE,#REF!,#REF!
,,46.96%,TRUE,46.96%,Advanced
,,46.94%,TRUE,46.94%,Advanced
,,46.90%,TRUE,46.90%,Advanced
,,46.90%,TRUE,46.90%,Advanced
,,46.89%,TRUE,46.89%,Advanced
,,46.89%,TRUE,46.89%,Advanced
,,46.88%,TRUE,46.88%,Advanced
,,46.86%,TRUE,46.86%,Advanced
,,46.84%,TRUE,46.84%,Advanced
,,46.82%,TRUE,46.82%,Advanced
,,46.82%,TRUE,46.82%,Advanced
,,46.81%,TRUE,46.81%,Advanced
,,46.80%,TRUE,46.80%,Advanced
,Bearify,46.75%,FALSE,#REF!,#REF!
,,46.74%,TRUE,46.74%,Advanced
,,46.74%,TRUE,46.74%,Advanced
,,46.74%,TRUE,46.74%,Advanced
,REVIVAL,46.74%,FALSE,#REF!,#REF!
,Ikigai,46.74%,FALSE,#REF!,#REF!
,,46.74%,TRUE,46.74%,Advanced
,,46.70%,TRUE,46.70%,Advanced
,,46.70%,TRUE,46.70%,Advanced
,Cat Company,46.70%,FALSE,#REF!,#REF!
,,46.68%,TRUE,46.68%,Advanced
,Clarity Gaming,46.67%,FALSE,#REF!,#REF!
,,46.66%,TRUE,46.66%,Advanced
,,46.66%,TRUE,46.66%,Advanced
,,46.64%,TRUE,46.64%,Advanced
,,46.61%,TRUE,46.61%,Advanced
,Ugly Hamsters,46.60%,FALSE,#REF!,#REF!
,Tactical Throwers,46.56%,FALSE,#REF!,#REF!
,HOLY SMOKES,46.56%,FALSE,#REF!,#REF!
,,46.54%,TRUE,46.54%,Advanced
,Hyades,46.54%,FALSE,#REF!,#REF!
,,46.54%,TRUE,46.54%,Advanced
,,46.53%,TRUE,46.53%,Advanced
,,46.53%,TRUE,46.53%,Advanced
,,46.53%,TRUE,46.53%,Advanced
,,46.52%,TRUE,46.52%,Advanced
,,46.51%,TRUE,46.51%,Advanced
,,46.49%,TRUE,46.49%,Advanced
,Harmony,46.46%,FALSE,#REF!,#REF!
,,46.44%,TRUE,46.44%,Advanced
,NPC DD,46.43%,FALSE,#REF!,#REF!
,,46.40%,TRUE,46.40%,Advanced
,,46.39%,TRUE,46.39%,Advanced
,,46.39%,TRUE,46.39%,Advanced
,PommyPurin,46.36%,FALSE,#REF!,#REF!
,Tactical Throwers,46.34%,FALSE,#REF!,#REF!
,STARFIRE,46.24%,FALSE,#REF!,#REF!
,,46.24%,TRUE,46.24%,Advanced
,,46.21%,TRUE,46.21%,Advanced
,Bearify,46.20%,FALSE,#REF!,#REF!
,Royalty Forgotten,46.18%,FALSE,#REF!,#REF!
,BEKNZ+,46.15%,FALSE,#REF!,#REF!
,Clarity Gaming,46.14%,FALSE,#REF!,#REF!
,,46.13%,TRUE,46.13%,Advanced
,,46.11%,TRUE,46.11%,Advanced
,,46.10%,TRUE,46.10%,Advanced
,Desire Rising X,46.08%,FALSE,#REF!,#REF!
,,46.08%,TRUE,46.08%,Advanced
,,46.08%,TRUE,46.08%,Advanced
,,46.08%,TRUE,46.08%,Advanced
,,46.05%,TRUE,46.05%,Advanced
,,46.05%,TRUE,46.05%,Advanced
,,46.05%,TRUE,46.05%,Advanced
,,46.05%,TRUE,46.05%,Advanced
,,46.05%,TRUE,46.05%,Advanced
,Agoge X,46.04%,FALSE,#REF!,#REF!
,,46.04%,TRUE,46.04%,Advanced
,Clarity Gaming,46.02%,FALSE,#REF!,#REF!
,,46.01%,TRUE,46.01%,Advanced
,,46.01%,TRUE,46.01%,Advanced
,,46.01%,TRUE,46.01%,Advanced
,,45.97%,TRUE,45.97%,Advanced
,,45.97%,TRUE,45.97%,Advanced
,,45.97%,TRUE,45.97%,Advanced
,,45.97%,TRUE,45.97%,Advanced
,,45.97%,TRUE,45.97%,Advanced
,,45.97%,TRUE,45.97%,Advanced
,,45.97%,TRUE,45.97%,Advanced
,,45.96%,TRUE,45.96%,Advanced
,NPC DD,45.90%,FALSE,#REF!,#REF!
,Fifty50 Red,45.90%,FALSE,#REF!,#REF!
,BEKNZ+,45.90%,FALSE,#REF!,#REF!
,Team Dora,45.88%,FALSE,#REF!,#REF!
,Hyades,45.88%,FALSE,#REF!,#REF!
,Harmony,45.88%,FALSE,#REF!,#REF!
,Starfruit,45.87%,FALSE,#REF!,#REF!
,Starfruit,45.87%,FALSE,#REF!,#REF!
,Starfruit,45.87%,FALSE,#REF!,#REF!
,Starfruit,45.87%,FALSE,#REF!,#REF!
,Bathwater Babes,45.87%,FALSE,#REF!,#REF!
,Bathwater Babes,45.87%,FALSE,#REF!,#REF!
,Bathwater Babes,45.87%,FALSE,#REF!,#REF!
,,45.87%,TRUE,45.87%,Advanced
,,45.87%,TRUE,45.87%,Advanced
,,45.86%,TRUE,45.86%,Advanced
,,45.85%,TRUE,45.85%,Advanced
,Godset,45.83%,FALSE,#REF!,#REF!
,,45.81%,TRUE,45.81%,Advanced
,DONOOBS,45.80%,FALSE,#REF!,#REF!
,,45.79%,TRUE,45.79%,Advanced
,,45.79%,TRUE,45.79%,Advanced
,,45.78%,TRUE,45.78%,Advanced
,,45.78%,TRUE,45.78%,Advanced
,,45.77%,TRUE,45.77%,Advanced
,,45.76%,TRUE,45.76%,Advanced
,Hyades,45.75%,FALSE,#REF!,#REF!
,,45.74%,TRUE,45.74%,Advanced
,Knives Out,45.74%,FALSE,#REF!,#REF!
,Adore Esports,45.72%,FALSE,#REF!,#REF!
,,45.70%,TRUE,45.70%,Advanced
,,45.69%,TRUE,45.69%,Advanced
,,45.69%,TRUE,45.69%,Advanced
,Desire Rising X,45.66%,FALSE,#REF!,#REF!
,,45.66%,TRUE,45.66%,Advanced
,,45.66%,TRUE,45.66%,Advanced
,,45.65%,TRUE,45.65%,Advanced
,Team Kraken,45.61%,FALSE,#REF!,#REF!
,,45.56%,TRUE,45.56%,Advanced
,,45.55%,TRUE,45.55%,Advanced
,,45.50%,TRUE,45.50%,Advanced
,BEKNZ+,45.49%,FALSE,#REF!,#REF!
,Hyades,45.49%,FALSE,#REF!,#REF!
,Bathwater Babes,45.48%,FALSE,#REF!,#REF!
,,45.48%,TRUE,45.48%,Advanced
,,45.45%,TRUE,45.45%,Advanced
,,45.45%,TRUE,45.45%,Advanced
,,45.41%,TRUE,45.41%,Advanced
,,45.40%,TRUE,45.40%,Advanced
,,45.39%,TRUE,45.39%,Advanced
,,45.38%,TRUE,45.38%,Advanced
,HorizonGG,45.38%,FALSE,#REF!,#REF!
,,45.35%,TRUE,45.35%,Advanced
,,45.35%,TRUE,45.35%,Advanced
,Zulu Aim,45.29%,FALSE,#REF!,#REF!
,,45.28%,TRUE,45.28%,Advanced
,,45.27%,TRUE,45.27%,Advanced
,,45.19%,TRUE,45.19%,Advanced
,,45.16%,TRUE,45.16%,Advanced
,,45.16%,TRUE,45.16%,Advanced
,,45.16%,TRUE,45.16%,Advanced
,,45.14%,TRUE,45.14%,Advanced
,,45.14%,TRUE,45.14%,Advanced
,DMG,45.10%,FALSE,#REF!,#REF!
,The Fog,45.04%,FALSE,#REF!,#REF!
,,45.03%,TRUE,45.03%,Advanced
,,44.99%,TRUE,44.99%,Intermediate
,,44.98%,TRUE,44.98%,Intermediate
,,44.98%,TRUE,44.98%,Intermediate
,,44.98%,TRUE,44.98%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.97%,TRUE,44.97%,Intermediate
,,44.96%,TRUE,44.96%,Intermediate
,,44.96%,TRUE,44.96%,Intermediate
,,44.94%,TRUE,44.94%,Intermediate
,,44.89%,TRUE,44.89%,Intermediate
,,44.89%,TRUE,44.89%,Intermediate
,,44.88%,TRUE,44.88%,Intermediate
,,44.84%,TRUE,44.84%,Intermediate
,,44.83%,TRUE,44.83%,Intermediate
,,44.82%,TRUE,44.82%,Intermediate
,,44.82%,TRUE,44.82%,Intermediate
,,44.82%,TRUE,44.82%,Intermediate
,,44.82%,TRUE,44.82%,Intermediate
,,44.81%,TRUE,44.81%,Intermediate
,,44.79%,TRUE,44.79%,Intermediate
,,44.79%,TRUE,44.79%,Intermediate
,,44.76%,TRUE,44.76%,Intermediate
,,44.76%,TRUE,44.76%,Intermediate
,,44.76%,TRUE,44.76%,Intermediate
,,44.76%,TRUE,44.76%,Intermediate
,,44.76%,TRUE,44.76%,Intermediate
,,44.76%,TRUE,44.76%,Intermediate
,,44.76%,TRUE,44.76%,Intermediate
,,44.76%,TRUE,44.76%,Intermediate
,,44.76%,TRUE,44.76%,Intermediate
,,44.75%,TRUE,44.75%,Intermediate
,Hyades,44.75%,FALSE,#REF!,#REF!
,,44.71%,TRUE,44.71%,Intermediate
,,44.71%,TRUE,44.71%,Intermediate
,,44.66%,TRUE,44.66%,Intermediate
,,44.64%,TRUE,44.64%,Intermediate
,,44.64%,TRUE,44.64%,Intermediate
,,44.63%,TRUE,44.63%,Intermediate
,,44.62%,TRUE,44.62%,Intermediate
,,44.62%,TRUE,44.62%,Intermediate
,,44.62%,TRUE,44.62%,Intermediate
,,44.62%,TRUE,44.62%,Intermediate
,,44.62%,TRUE,44.62%,Intermediate
,,44.62%,TRUE,44.62%,Intermediate
,,44.62%,TRUE,44.62%,Intermediate
,,44.61%,TRUE,44.61%,Intermediate
,,44.61%,TRUE,44.61%,Intermediate
,,44.61%,TRUE,44.61%,Intermediate
,,44.59%,TRUE,44.59%,Intermediate
,,44.55%,TRUE,44.55%,Intermediate
,,44.55%,TRUE,44.55%,Intermediate
,,44.55%,TRUE,44.55%,Intermediate
,,44.55%,TRUE,44.55%,Intermediate
,,44.55%,TRUE,44.55%,Intermediate
,,44.55%,TRUE,44.55%,Intermediate
,,44.55%,TRUE,44.55%,Intermediate
,,44.55%,TRUE,44.55%,Intermediate
,,44.52%,TRUE,44.52%,Intermediate
,,44.51%,TRUE,44.51%,Intermediate
,Astéri 7,44.49%,FALSE,#REF!,#REF!
,,44.49%,TRUE,44.49%,Intermediate
,,44.48%,TRUE,44.48%,Intermediate
,,44.42%,TRUE,44.42%,Intermediate
,,44.37%,TRUE,44.37%,Intermediate
,,44.37%,TRUE,44.37%,Intermediate
,Fallen eSports,44.36%,FALSE,#REF!,#REF!
,,44.36%,TRUE,44.36%,Intermediate
,,44.35%,TRUE,44.35%,Intermediate
,,44.35%,TRUE,44.35%,Intermediate
,,44.29%,TRUE,44.29%,Intermediate
,,44.26%,TRUE,44.26%,Intermediate
,,44.23%,TRUE,44.23%,Intermediate
,,44.21%,TRUE,44.21%,Intermediate
,Last Resistance,44.21%,FALSE,#REF!,#REF!
,,44.20%,TRUE,44.20%,Intermediate
,,44.20%,TRUE,44.20%,Intermediate
,,44.20%,TRUE,44.20%,Intermediate
,,44.20%,TRUE,44.20%,Intermediate
,,44.20%,TRUE,44.20%,Intermediate
,,44.20%,TRUE,44.20%,Intermediate
,,44.14%,TRUE,44.14%,Intermediate
,,44.11%,TRUE,44.11%,Intermediate
,,44.08%,TRUE,44.08%,Intermediate
,,44.06%,TRUE,44.06%,Intermediate
,,44.03%,TRUE,44.03%,Intermediate
,,44.01%,TRUE,44.01%,Intermediate
,,44.00%,TRUE,44.00%,Intermediate
,,44.00%,TRUE,44.00%,Intermediate
,,44.00%,TRUE,44.00%,Intermediate
,Crownless,43.97%,FALSE,#REF!,#REF!
,,43.97%,TRUE,43.97%,Intermediate
,,43.92%,TRUE,43.92%,Intermediate
,Royalty Forgotten,43.91%,FALSE,#REF!,#REF!
,,43.90%,TRUE,43.90%,Intermediate
,,43.90%,TRUE,43.90%,Intermediate
,,43.90%,TRUE,43.90%,Intermediate
,,43.89%,TRUE,43.89%,Intermediate
,,43.85%,TRUE,43.85%,Intermediate
,,43.83%,TRUE,43.83%,Intermediate
,,43.82%,TRUE,43.82%,Intermediate
,Verity Esports White,43.82%,FALSE,#REF!,#REF!
,,43.81%,TRUE,43.81%,Intermediate
,,43.74%,TRUE,43.74%,Intermediate
,,43.74%,TRUE,43.74%,Intermediate
,,43.70%,TRUE,43.70%,Intermediate
,,43.69%,TRUE,43.69%,Intermediate
,,43.69%,TRUE,43.69%,Intermediate
,,43.68%,TRUE,43.68%,Intermediate
,,43.66%,TRUE,43.66%,Intermediate
,Ignite Beyond,43.66%,FALSE,#REF!,#REF!
,,43.65%,TRUE,43.65%,Intermediate
,,43.64%,TRUE,43.64%,Intermediate
